timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_rad_s,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
27170360,4792,6,0.306504,-0.113153,0.192248,0.00164768,-0.000744506,0.00100305,25.2509,34.9066,0.00106422,0.262103,0.371718,0.398323,0.381296,0.291901,-0.25578,-0.27068,-0.161065,0.00176066,0.0443294,0.160855,0.185332,0.226837,0.257699,0.261956,536898680,38,-221,237,82,5
27175202,4842,6,0.30981,-0.104772,0.210797,0.00138366,-0.000522714,0.00102878,25.2234,34.9066,0.00106422,0.226984,0.219534,0.296158,0.391938,0.408965,-0.0184595,-0.14723,-0.217469,-0.170643,-0.0652852,0.22258,0.190654,0.181076,0.216195,0.251314,536871776,-65,-331,227,73,5
27180759,5557,6,0.309752,-0.0907639,0.225551,0.00161325,-0.000367572,0.00132886,25.2173,34.9066,0.00106422,0.355754,0.23869,0.1908,0.219534,0.335534,0.0145313,-0.00356044,-0.0663494,-0.132331,-0.149359,0.27047,0.247057,0.219387,0.210874,0.235351,536887672,-144,-262,212,71,5
27184763,4004,6,0.313166,-0.0869197,0.235174,0.00132572,-0.000269279,0.00100721,25.2417,34.9066,0.00106422,0.43025,0.405773,0.317442,0.174837,0.0,-0.0972118,-0.0620925,-0.0471934,-0.0312301,0.0,0.257699,0.267277,0.254507,0.233222,1.09462e-19,536887672,-33,-111,210,79,4
27189559,4796,6,0.293975,-0.065837,0.242938,0.00138994,-0.000292666,0.00120275,25.2509,34.9066,0.00106422,0.153553,0.214213,0.33447,0.404708,0.361075,0.00282488,-0.0067531,-0.054643,-0.123817,-0.165322,0.22258,0.237479,0.260892,0.271534,0.260892,536887672,-159,-286,236,82,5
27194359,4800,6,0.279327,-0.0585899,0.247801,0.00110669,-1.18157e-05,0.0011724,25.2479,34.9066,0.00106422,0.236562,0.164195,0.182287,0.274874,0.342984,-0.15468,-0.0195237,0.0922193,0.112439,0.00495332,0.243865,0.227901,0.232158,0.259828,0.282176,0,1,-269,256,81,5
27199160,4801,6,0.276203,-0.0600394,0.254134,0.00137954,-0.00056872,0.00123812,25.2448,34.9066,0.00106422,0.36214,0.307864,0.228048,0.208892,0.221663,-0.156808,-0.268551,-0.192992,0.023045,0.189063,0.283241,0.266213,0.236415,0.227901,0.235351,536898680,174,-155,212,80,5
27204759,5599,6,0.264104,-0.0466041,0.25589,0.00139504,-0.00027425,0.00143278,25.2356,34.9066,0.00106422,0.267424,0.274874,0.261039,0.255718,0.201442,0.15288,-0.054643,-0.258973,-0.256845,-0.0620925,0.266213,0.275791,0.273663,0.252378,0.228965,536871776,-62,-136,206,77,5
27209564,4805,6,0.240758,-0.0363987,0.250466,0.000968301,-5.22604e-05,0.00116485,25.2448,34.9066,0.00106422,0.204635,0.19825,0.201442,0.203571,0.196121,0.136917,0.164586,0.0155955,-0.1749,-0.217469,0.221516,0.228965,0.247057,0.258764,0.264085,536871776,-208,-131,239,80,5
27214359,4795,6,0.209723,-0.0279212,0.246928,0.000809215,0.000205058,0.00112885,25.2509,34.9066,0.00106422,0.19825,0.167387,0.164195,0.152488,0.133332,-0.101469,0.111375,0.183742,0.0815771,-0.117432,0.261956,0.240672,0.220452,0.213002,0.227901,536871776,-114,-72,205,82,5
