timestamp,integral_dt,error_count,x,y,z,x_integral,y_integral,z_integral,temperature,range_m_s2,scaling,x_in[0],x_in[1],x_in[2],x_in[3],x_in[4],y_in[0],y_in[1],y_in[2],y_in[3],y_in[4],z_in[0],z_in[1],z_in[2],z_in[3],z_in[4],device_id,x_raw,y_raw,z_raw,temperature_raw,int_count
39216759,4800,6,0.0581274,0.260395,-9.96142,-0.00712877,0.00423989,-0.0467183,25.8537,78.4532,0.0023942,-8.10883,-5.34805,2.95817,7.33478,5.16918,-3.29202,1.97224,7.8466,3.8353,-3.65201,-10.5366,-10.3622,-8.8138,-8.07305,-9.20807,966779616,-1853,-2163,-4098,279,5
39222359,5600,6,-0.0388465,0.0221143,-10.0635,2.80556e-05,-0.000489593,-0.0554876,25.8507,78.4532,0.0023942,-2.68767,-6.94715,-3.30914,2.76934,4.9923,-5.76753,-3.38786,1.66134,6.57963,3.6366,-11.6597,-13.0122,-11.3801,-7.77197,-6.60828,966779616,1265,-2089,-3010,278,5
39227237,4878,6,-0.00847039,-0.105608,-9.98497,-0.00211078,-0.00391108,-0.0534297,25.8629,78.4532,0.0023942,2.62114,-2.94821,-4.05491,-0.397782,3.44579,-3.10969,-5.50805,-2.40607,2.02366,4.34723,-8.13757,-11.3969,-12.9931,-12.9094,-8.13757,966779616,1569,-1442,-3650,282,5
39231959,4722,6,0.0425542,-0.0504923,-9.82605,-0.0017483,-0.00401493,-0.0462521,25.8721,78.4532,0.0023942,2.59963,0.424475,-3.27807,-2.6566,1.45947,2.88156,-2.07647,-4.27381,-1.24429,2.11249,-5.66919,-7.65727,-10.4602,-14.7374,-13.6813,966779616,613,-611,-5970,285,5
39236759,4800,6,0.279014,-0.0468881,-9.83948,0.00447036,0.00211732,-0.0418512,25.8721,78.4532,0.0023942,4.2298,3.65135,-1.01926,-4.08599,-3.80393,2.69455,-0.662228,-1.97829,-0.402755,1.80159,-9.71943,-5.51626,-6.16144,-9.76244,-13.318,966779616,480,1591,-5818,285,5
39242360,5601,6,0.371876,0.0623952,-9.96451,0.00216023,-0.0019714,-0.0559452,25.8752,78.4532,0.0023942,0.857115,4.95884,4.33975,0.240423,-4.43258,2.45144,1.02084,-1.98297,-4.03303,-0.928713,-13.4088,-10.0468,-8.41236,-6.38127,-8.45776,966779616,-688,1854,-3784,286,5
39247209,4849,6,0.131663,0.267214,-10.0585,0.00587676,0.000721266,-0.0502252,25.8599,78.4532,0.0023942,-4.54014,-1.20092,3.57726,5.54685,2.70719,3.8166,5.2098,1.14941,-4.24576,-5.4239,-12.7995,-13.1364,-10.9715,-7.92251,-7.60709,966779616,-2611,-1133,-3428,281,5
39251959,4750,6,-0.0692155,0.340421,-9.93852,-0.00904589,0.00966661,-0.0488685,25.8354,78.4532,0.0023942,-2.41279,-5.98865,-2.93626,0.998142,4.69352,-0.176009,4.84747,5.16772,1.72913,-4.0868,-8.11606,-11.4184,-11.9727,-10.4004,-8.28333,966779616,-2039,-1964,-3711,273,5
39256759,4800,6,0.139384,0.117743,-9.8964,0.00178984,-0.00314036,-0.0474466,25.8384,78.4532,0.0023942,4.34214,0.909702,-3.5171,-4.04057,-0.859106,-6.04804,-0.71833,3.99893,3.90075,0.735652,-7.47567,-10.0444,-12.5725,-11.5044,-9.61907,966779616,24,359,-4270,274,5
39262359,5600,6,0.362299,0.000924424,-9.75375,0.00364869,0.000467395,-0.0558673,25.8599,78.4532,0.0023942,2.83149,4.37083,3.18286,-1.59053,-3.99515,-3.13306,-3.86707,0.256445,3.5244,2.87221,-6.89502,-7.52585,-9.4518,-13.6263,-12.4554,966779616,938,1671,-5457,281,5
39267209,4850,6,0.247707,0.0755652,-9.6946,0.00639742,0.000350508,-0.0437373,25.8599,78.4532,0.0023942,-3.36651,1.0077,3.84019,4.15331,0.438816,0.069438,-3.18449,-1.57155,1.88341,2.99376,-8.71583,-7.15548,-7.22238,-9.4064,-13.8079,966779616,990,-184,-6023,281,5
39271962,4753,6,0.110846,-0.0549589,-9.70695,-0.00335154,-0.00457734,-0.0422231,25.8446,78.4532,0.0023942,-3.72266,-3.38563,-0.371489,3.45774,2.755,0.700588,-3.32007,-4.23173,0.819805,5.38512,-12.6585,-8.51511,-6.70625,-6.23073,-9.90103,966779616,2013,-1153,-4388,276,5
39276759,4797,6,0.0399665,0.0407015,-9.84974,-0.00244261,-0.00125027,-0.0515796,25.8568,78.4532,0.0023942,-0.0535816,-2.71635,-2.20483,0.417304,2.86256,4.1649,-0.867936,-4.86756,-4.81145,0.730976,-13.5713,-13.3348,-10.453,-5.95594,-5.65964,966779616,22,-1198,-2613,280,5
39280762,4003,6,0.119198,0.394896,-9.73954,0.00190213,0.0103659,-0.0411817,25.8384,78.4532,0.0023942,2.39168,-1.08857,-2.47255,-1.18179,-2.47255,6.84845,6.58664,-0.991828,-7.48332,-0.991828,-8.96912,-13.1364,-13.9274,-10.6967,-13.9274,966779616,-3492,494,-4721,274,4
39286359,5597,6,0.163012,0.174628,-9.59011,-0.00137536,0.000828102,-0.0513174,25.8354,78.4532,0.0023942,1.86103,3.33106,0.259545,-2.58489,-3.01275,-6.84048,0.971748,7.41415,6.46509,0.721626,-7.66922,-5.6214,-7.55214,-10.1949,-13.4829,966779616,18,1260,-5887,273,5
39291159,4800,6,0.221998,-0.137811,-9.59148,0.00610388,-0.00126836,-0.0426071,25.8446,78.4532,0.0023942,-0.404953,2.83627,4.42102,1.13917,-2.90519,-6.95269,-7.62124,-1.05027,6.72222,7.71804,-12.1066,-8.78991,-6.1686,-7.17698,-10.9118,966779616,3011,1215,-4811,276,5
39295959,4800,6,0.111695,-0.147516,-9.73268,0.00224005,-0.0104897,-0.0486415,25.8629,78.4532,0.0023942,-3.93779,-1.92517,2.8769,5.41538,2.71197,0.719288,-5.69974,-6.80308,-1.66038,5.42953,-12.8306,-12.5008,-8.80185,-6.55332,-8.00614,966779616,2032,-1135,-3595,282,5
39300768,4809,6,-0.0378406,0.0229399,-9.8257,-0.00655793,0.00270823,-0.05067,25.8599,78.4532,0.0023942,-3.18724,-5.05166,-3.18246,2.46099,7.16985,7.44921,1.12135,-5.53611,-6.18829,-1.05962,-10.8855,-12.4459,-11.0432,-9.42074,-7.46611,966779616,-744,-3000,-3369,281,5
39306360,5592,6,0.0962002,0.218184,-9.8972,-0.00107979,0.00249326,-0.0528394,25.866,78.4532,0.0023942,4.59073,-2.09727,-6.60773,-4.93214,0.766285,5.96251,5.71238,0.443453,-3.87642,-5.0756,-9.25586,-11.2917,-11.7075,-9.77917,-7.11485,966779616,-2462,-321,-3222,283,5
39311159,4799,6,0.217048,0.237053,-9.7987,-0.000126206,0.00432842,-0.0512019,25.8415,78.4532,0.0023942,6.64638,5.51338,-1.37063,-5.50581,-4.46604,-0.657553,4.99942,4.37996,-0.491584,-3.82966,-7.24867,-9.35383,-13.1006,-13.048,-9.39684,966779616,-1929,1868,-4177,275,5
39315959,4800,6,0.340488,0.205642,-9.70916,0.0115231,0.00489722,-0.0443823,25.8507,78.4532,0.0023942,0.355156,5.61377,6.06076,0.787797,-4.03579,-3.84135,0.789416,4.96669,3.73946,-0.991828,-7.47567,-6.29525,-9.06948,-13.4566,-13.6,966779616,-715,1688,-5936,278,5
