timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
142602420,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
142828462,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
143053912,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
143277014,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
143504191,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
143728384,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
143955456,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
144179578,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
144405689,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
144630828,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
144859005,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
145083784,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
145310631,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
145535592,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
145762481,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
145989298,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
146220278,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
146452351,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
146680579,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
146903998,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
147127780,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
147351131,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
147578147,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
147802345,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
148027951,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
148252826,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
148478697,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
148702999,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
148926795,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
149151045,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
149375728,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
149604868,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
149831016,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
150057203,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
150283505,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
150507588,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
150733906,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
150958913,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
151184276,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
151409365,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
151632528,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
151863299,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
152093404,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
152316892,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
152544392,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
152769204,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
152996642,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
153221635,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
153447782,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
153675180,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
153899546,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
154123445,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
154348486,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
154571807,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
154799489,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
155027178,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
155254851,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
155482443,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
155708451,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
155935668,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
156162115,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
156393090,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
156620526,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
156845570,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
157072050,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
157296872,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
157522226,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
157747183,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
157977205,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
158204373,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
158429566,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
158656628,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
158882457,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
159106003,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
159329630,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
159555581,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
159781532,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
160006223,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0
