timestamp,system_id,component_id,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,engine_failure,engine_failure_cmd,mission_failure
137605415,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
137829792,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
138058192,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
138280985,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
138508142,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
138734941,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
138961490,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
139190385,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
139419599,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
139647220,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
139878251,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
140102118,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
140327817,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
140557882,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
140783882,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
141014064,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
141244045,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
141472152,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
141702121,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
141928213,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
142161240,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
142391553,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
142616309,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
142846825,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
143074780,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
143300455,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
143530736,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
143760532,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
143987244,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
144214931,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
144443343,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
144673297,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
144904100,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
145132165,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
145359011,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
145586587,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
145815369,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
146042145,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
146270427,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
146502525,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
146733139,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
146959562,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
147188526,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
147417887,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
147647402,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
147876116,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
148105431,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
148335371,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
148560116,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
148790047,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
149018048,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
149248048,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
149476593,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
149701284,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
149931359,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
150157722,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
150386521,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
150612896,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
150842744,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
151072350,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
151300788,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
151529756,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
151754816,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
151981791,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
152210839,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
152433978,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
152664351,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
152894836,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
153123233,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
153351323,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
153581346,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
153808209,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
154036490,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
154264168,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
154492059,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
154717236,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
154944969,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
155169425,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
155399021,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
155627475,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
155854260,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
156080882,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
156308882,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
156534522,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
156761451,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
156989566,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
157215336,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
157441333,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
157670681,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
157907865,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
158133163,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
158361817,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
158590890,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
158818075,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
159044154,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
159270066,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
159500209,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
159727287,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
159957963,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
160189147,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
160414529,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
160642590,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
160872770,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
161102480,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
161332066,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
161556483,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
161790091,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
162019743,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
162246984,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
162475336,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
162707626,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
162936183,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
163163727,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
163391854,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
163615994,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
163843035,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
164073959,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
164306068,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
164535548,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
164765904,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
164996478,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
165147044,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
165225960,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
165454808,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
165680581,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
165908820,1,1,0,0,0,16,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
166137935,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
166367869,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
166597954,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
166829563,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
167750206,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
167979841,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
168208412,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
168438160,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
168662542,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
168891698,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
169120604,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
169348012,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
169574381,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
169802963,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
170031988,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
170260212,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
170488144,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
170715203,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
170941186,1,1,0,0,0,10,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
171019844,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
171169322,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
171393286,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
171624297,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
171852421,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
172080616,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
172306699,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
172535640,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
172766876,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
172996645,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
173226845,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
173454450,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
173684470,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
173912512,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
174139501,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
174368320,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
174600514,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
174833308,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
175059411,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
175286713,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
175516650,1,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0
