timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,R_body[0],R_body[1],R_body[2],R_body[3],R_body[4],R_body[5],R_body[6],R_body[7],R_body[8],q_d[0],q_d[1],q_d[2],q_d[3],q_e[0],q_e[1],q_e[2],q_e[3],thrust,R_valid,q_d_valid,q_e_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
109712665,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524463,0.930199,-0.36704,-0.00338048,0.00121948,-0.00611937,0.999981,0.562558,-0.00121716,-0.00287264,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109732339,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524458,0.930199,-0.36704,-0.00338057,0.00121959,-0.00611935,0.999981,0.562558,-0.00121711,-0.00287267,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109752376,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638251,0.930199,-0.367036,-0.00383167,0.00122153,-0.00734343,0.999972,0.562557,-0.00156062,-0.00337923,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109772554,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00752064,0.930199,-0.367031,-0.00428242,0.00122307,-0.00856757,0.999963,0.562556,-0.00190432,-0.00388571,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109792854,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.006382,0.930199,-0.367036,-0.00383252,0.0012225,-0.00734327,0.999972,0.562557,-0.00156017,-0.00337943,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109822282,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00751976,0.930199,-0.367031,-0.00428397,0.00122484,-0.00856732,0.999963,0.562556,-0.00190352,-0.0038861,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109842394,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638152,0.930199,-0.367036,-0.00383332,0.00122342,-0.00734311,0.999972,0.562557,-0.00155975,-0.00337963,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109862709,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00751942,0.930199,-0.367031,-0.00428457,0.00122552,-0.00856722,0.999963,0.562556,-0.00190321,-0.00388625,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109882410,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638103,0.930199,-0.367036,-0.00383413,0.00122436,-0.00734296,0.999972,0.562557,-0.00155932,-0.00337983,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109902458,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638127,0.930199,-0.367036,-0.00383372,0.00122389,-0.00734304,0.999972,0.562557,-0.00155954,-0.00337973,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109922722,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638085,0.930199,-0.367036,-0.00383443,0.00122471,-0.0073429,0.999972,0.562557,-0.00155916,-0.0033799,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109942420,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00638082,0.930199,-0.367036,-0.00383447,0.00122475,-0.00734289,0.999972,0.562557,-0.00155914,-0.00337991,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109962762,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524249,0.930199,-0.36704,-0.00338381,0.00122337,-0.0061186,0.999981,0.562558,-0.00121533,-0.00287342,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
109982501,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568945,0.9302,-0.367047,-0.00225723,1.13433e-05,-0.00612085,0.999981,0.562557,-0.00171699,-0.00253343,0.826753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110002822,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568934,0.9302,-0.367047,-0.00225749,1.16257e-05,-0.00612085,0.999981,0.562557,-0.00171687,-0.00253351,0.826753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110032661,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00751802,0.930199,-0.367031,-0.00428702,0.00122831,-0.00856682,0.999963,0.562556,-0.00190194,-0.00388687,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110052905,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568918,0.9302,-0.367047,-0.00225791,1.20723e-05,-0.00612084,0.999981,0.562557,-0.00171669,-0.00253363,0.826753,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110073173,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00637989,0.930199,-0.367036,-0.00383603,0.00122654,-0.00734259,0.999972,0.562557,-0.00155831,-0.00338029,0.82675,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110093797,-0.00856925,-0.00121203,1.94664,0.0,-0.367054,-0.930169,-0.00751751,0.930199,-0.367031,-0.00428792,0.00122933,-0.00856668,0.999963,0.562556,-0.00190148,-0.0038871,0.826748,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110112786,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524195,0.930199,-0.36704,-0.00338465,0.00122434,-0.0061184,0.999981,0.562558,-0.00121488,-0.00287361,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110133175,-0.00734507,-0.0,1.94664,0.0,-0.367054,-0.930175,-0.00682681,0.9302,-0.367044,-0.00270993,1.49709e-05,-0.00734499,0.999973,0.562556,-0.00205982,-0.00304049,0.826751,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110153160,-0.00856925,-0.0,1.94664,0.0,-0.367054,-0.930166,-0.00796454,0.9302,-0.36704,-0.00316171,1.7609e-05,-0.00856913,0.999963,0.562554,-0.00240307,-0.00354728,0.826749,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110172907,0.0,-0.0,1.94664,0.0,-0.367054,-0.9302,-0.0,0.9302,-0.367054,0.0,-0.0,-0.0,1.0,0.562559,-0.0,0.0,0.826757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110192923,0.0,-0.00121203,1.94664,0.0,-0.367054,-0.9302,0.000447311,0.930199,-0.367054,-0.00112647,0.00121203,2.61317e-06,0.999999,0.562559,0.000501763,-0.00033984,0.826757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110213162,0.0,-0.00121203,1.94664,0.0,-0.367054,-0.9302,0.000447374,0.930199,-0.367054,-0.00112645,0.00121203,2.68006e-06,0.999999,0.562559,0.000501782,-0.000339812,0.826757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110242606,0.0,-0.0,1.94664,0.0,-0.367054,-0.9302,-0.0,0.9302,-0.367054,0.0,-0.0,-0.0,1.0,0.562559,-0.0,0.0,0.826757,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110262588,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524076,0.930199,-0.36704,-0.00338648,0.00122648,-0.00611797,0.999981,0.562558,-0.00121387,-0.00287403,0.826752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
110282971,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524073,0.930199,-0.36704,-0.00338654,0.00122655,-0.00611796,0.999981,0.562558,-0.00121384,-0.00287405,0.826752,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110302769,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524046,0.930199,-0.36704,-0.00338694,0.00122703,-0.00611786,0.999981,0.562558,-0.00121362,-0.00287414,0.826752,0.0,0.0,0.0,0.0,0.00631164,0,0,0,0,0,0,0,0,0
110322938,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.0052404,0.930199,-0.36704,-0.00338704,0.00122713,-0.00611784,0.999981,0.562558,-0.00121357,-0.00287416,0.826752,0.0,0.0,0.0,0.0,0.00710059,0,0,0,0,0,0,0,0,0
110342866,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568792,0.9302,-0.367047,-0.00226107,1.54703e-05,-0.00612084,0.999981,0.562557,-0.00171528,-0.00253459,0.826753,0.0,0.0,0.0,0.0,0.0086785,0,0,0,0,0,0,0,0,0
110363078,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00524022,0.930199,-0.36704,-0.00338733,0.00122747,-0.00611777,0.999981,0.562558,-0.00121341,-0.00287423,0.826752,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110382827,-0.00367254,-0.00121203,1.94664,0.0,-0.367054,-0.930195,-0.00296472,0.930199,-0.367047,-0.00248332,0.00122178,-0.00366929,0.999992,0.562559,-0.000527042,-0.00186047,0.826755,0.0,0.0,0.0,0.0,0.00710059,0,0,0,0,0,0,0,0,0
110402902,-0.00367254,-0.00121203,1.94664,0.0,-0.367054,-0.930195,-0.0029648,0.930199,-0.367047,-0.00248323,0.00122167,-0.00366933,0.999992,0.562559,-0.0005271,-0.00186046,0.826755,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110423229,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00637703,0.930199,-0.367036,-0.00384078,0.00123202,-0.00734168,0.999972,0.562557,-0.00155579,-0.00338145,0.82675,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110453162,-0.00734507,-0.00121203,1.94664,0.0,-0.367054,-0.930178,-0.00637692,0.930199,-0.367036,-0.00384096,0.00123223,-0.00734164,0.999972,0.562557,-0.0015557,-0.0033815,0.82675,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110473150,-0.00734507,-0.0,1.94664,0.0,-0.367054,-0.930175,-0.0068248,0.9302,-0.367044,-0.00271499,2.04144e-05,-0.00734498,0.999973,0.562556,-0.00205757,-0.00304202,0.826751,0.0,0.0,0.0,0.0,0.00710059,0,0,0,0,0,0,0,0,0
110493397,-0.00734507,-0.0,1.94664,0.0,-0.367054,-0.930175,-0.00682468,0.9302,-0.367044,-0.00271531,2.07524e-05,-0.00734498,0.999973,0.562556,-0.00205743,-0.00304211,0.826751,0.0,0.0,0.0,0.0,0.00710059,0,0,0,0,0,0,0,0,0
110513165,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568704,0.9302,-0.367047,-0.00226328,1.78497e-05,-0.00612083,0.999981,0.562557,-0.00171429,-0.00253525,0.826753,0.0,0.0,0.0,0.0,0.00788955,0,0,0,0,0,0,0,0,0
110533160,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00523885,0.930199,-0.36704,-0.00338943,0.00122993,-0.00611728,0.999981,0.562558,-0.00121225,-0.00287472,0.826752,0.0,0.0,0.0,0.0,0.00946746,0,0,0,0,0,0,0,0,0
110553171,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568696,0.9302,-0.367047,-0.00226348,1.80657e-05,-0.00612083,0.999981,0.562557,-0.00171421,-0.00253531,0.826753,0.0,0.0,0.0,0.0,0.018146,0,0,0,0,0,0,0,0,0
110573398,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00523879,0.930199,-0.36704,-0.00338953,0.00123005,-0.00611726,0.999981,0.562558,-0.0012122,-0.00287474,0.826752,0.0,0.0,0.0,0.0,0.0402367,0,0,0,0,0,0,0,0,0
110593271,-0.00612089,-0.0,1.94664,0.0,-0.367054,-0.930182,-0.00568679,0.9302,-0.367047,-0.00226392,1.85385e-05,-0.00612083,0.999981,0.562557,-0.00171401,-0.00253544,0.826753,0.0,0.0,0.0,0.0,0.0591716,0,0,0,0,0,0,0,0,0
110613235,-0.00612089,-0.00121203,1.94664,0.0,-0.367054,-0.930185,-0.00523848,0.930199,-0.36704,-0.00339001,0.0012306,-0.00611715,0.999981,0.562558,-0.00121194,-0.00287485,0.826752,0.0,0.0,0.0,0.0,0.0773176,0,0,0,0,0,0,0,0,0
110633597,-0.00367254,-0.00121203,1.94664,0.0,-0.367054,-0.930195,-0.00296381,0.930199,-0.367047,-0.00248441,0.00122313,-0.00366884,0.999992,0.562559,-0.000526359,-0.00186067,0.826755,0.0,0.0,0.0,0.0,0.0946746,0,0,0,0,0,0,0,0,0
110663170,-0.00367254,-0.00121203,1.94683,0.0209021,-0.367229,-0.930126,-0.00296456,0.93013,-0.367223,-0.00248351,0.00122132,-0.00366945,0.999992,0.562481,-0.000527099,-0.00186046,0.826808,0.0,0.0,0.0,0.0,0.0962525,0,0,0,0,0,0,0,0,0
110683230,-0.00612089,-0.00121203,1.94766,0.0418043,-0.368008,-0.929808,-0.00524013,0.929822,-0.367995,-0.00338745,0.00122134,-0.006119,0.999981,0.562134,-0.00121481,-0.00287364,0.82704,0.0,0.0,0.0,0.0,0.0946746,0,0,0,0,0,0,0,0,0
