timestamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,rollacc,pitchacc,yawacc,rate_vibration,accel_vibration,mag_vibration,rate_offsets[0],rate_offsets[1],rate_offsets[2],R[0],R[1],R[2],R[3],R[4],R[5],R[6],R[7],R[8],q[0],q[1],q[2],q[3],g_comp[0],g_comp[1],g_comp[2],R_valid,q_valid
109446655,-0.146854,0.0466725,1.94759,0.000431701,0.00220578,-0.00171947,0.0,0.0,0.0,0.0,0.0,0.0,0.00642151,-0.00260925,0.00196918,-0.367541,-0.917328,-0.153044,0.928836,-0.370329,-0.010924,-0.0466556,-0.146167,0.988159,-0.559082,0.0604757,0.0475726,-0.825535,0.500685,1.3973,-9.63619,1,1
109458687,-0.146849,0.0466544,1.94756,-0.000679944,-0.0036227,-0.00612298,0.0,0.0,0.0,0.0,0.0,0.0,0.00642226,-0.00260895,0.00197134,-0.367514,-0.917341,-0.153032,0.928848,-0.3703,-0.0109343,-0.0466374,-0.146162,0.988161,-0.559094,0.0604675,0.0475747,-0.825526,0.493098,1.37923,-9.66387,1,1
109466655,-0.146849,0.0465938,1.94751,-0.000218116,-0.00577533,-0.00849293,0.0,0.0,0.0,0.0,0.0,0.0,0.00642294,-0.0026091,0.00197232,-0.367469,-0.917362,-0.153011,0.928869,-0.370247,-0.0109826,-0.0465769,-0.146163,0.988163,-0.559117,0.0604438,0.0475904,-0.825512,0.433848,1.3989,-9.78141,1,1
109478655,-0.146797,0.0465922,1.94745,0.00943297,0.00522712,-0.00546398,0.0,0.0,0.0,0.0,0.0,0.0,0.00642167,-0.00261028,0.00197373,-0.367407,-0.917395,-0.152963,0.928893,-0.370186,-0.0109544,-0.0465754,-0.146111,0.988171,-0.559146,0.0604301,0.0475672,-0.825494,0.429554,1.56014,-9.71663,1,1
109486655,-0.146746,0.0466826,1.94744,0.00545209,0.0138953,-0.000773593,0.0,0.0,0.0,0.0,0.0,0.0,0.00642103,-0.00261079,0.00197631,-0.367403,-0.917399,-0.15295,0.928891,-0.370195,-0.0108521,-0.0466656,-0.146061,0.988174,-0.559146,0.0604533,0.0475209,-0.825496,0.460514,1.40444,-9.70665,1,1
109502654,-0.146746,0.0467574,1.94754,-0.00914944,-0.00484219,0.0037156,0.0,0.0,0.0,0.0,0.0,0.0,0.00642647,-0.0026106,0.00198272,-0.36749,-0.91736,-0.152976,0.928852,-0.370293,-0.0107979,-0.0467404,-0.14606,0.988171,-0.559104,0.0604818,0.0475027,-0.825523,0.456588,1.08266,-10.0709,1,1
109514654,-0.146774,0.046699,1.9476,-0.00273535,-0.00111288,0.00038497,0.0,0.0,0.0,0.0,0.0,0.0,0.00643161,-0.00261289,0.00198517,-0.367548,-0.917336,-0.15298,0.928832,-0.370341,-0.0108713,-0.046682,-0.146088,0.988169,-0.55908,0.0604641,0.0475325,-0.825539,0.362314,1.27474,-10.0791,1,1
109522656,-0.146731,0.0467031,1.94761,0.00120032,0.00431921,-0.00429472,0.0,0.0,0.0,0.0,0.0,0.0,0.00643549,-0.0026155,0.00198844,-0.367554,-0.91734,-0.152942,0.92883,-0.370348,-0.0108528,-0.0466861,-0.146046,0.988176,-0.559078,0.0604536,0.0475139,-0.825542,0.363986,1.24096,-10.0187,1,1
109534661,-0.146592,0.0467212,1.94752,0.0115917,0.00481403,-0.00690537,0.0,0.0,0.0,0.0,0.0,0.0,0.00644028,-0.00261551,0.0019881,-0.367475,-0.917392,-0.152821,0.92886,-0.370274,-0.0107714,-0.0467042,-0.145908,0.988195,-0.559117,0.0604241,0.0474485,-0.825522,0.471363,1.3372,-9.94152,1,1
109542655,-0.146496,0.046766,1.94748,0.0085317,0.00635704,-0.00539692,0.0,0.0,0.0,0.0,0.0,0.0,0.00644212,-0.00261629,0.00198983,-0.367439,-0.917418,-0.152751,0.928872,-0.370247,-0.0106892,-0.0467489,-0.145813,0.988207,-0.559134,0.0604168,0.0473955,-0.825514,0.426178,1.34244,-9.85168,1,1
109554655,-0.146425,0.0467546,1.9475,-0.00314014,-0.00293817,0.00152109,0.0,0.0,0.0,0.0,0.0,0.0,0.00644666,-0.002618,0.00199265,-0.367454,-0.917424,-0.152681,0.928867,-0.370261,-0.0106757,-0.0467375,-0.145743,0.988218,-0.55913,0.0603917,0.0473697,-0.82552,0.414785,1.27305,-9.75217,1,1
109566655,-0.146487,0.0466682,1.94757,-0.00615725,-0.00613375,0.00218913,0.0,0.0,0.0,0.0,0.0,0.0,0.00644738,-0.00261854,0.00199513,-0.367522,-0.917393,-0.152705,0.928844,-0.370313,-0.0107887,-0.0466513,-0.145804,0.988213,-0.559102,0.0603717,0.0474215,-0.825537,0.459362,1.47418,-9.87976,1,1
