timestamp,x_acc,y_acc,z_acc,x_vel,y_vel,z_vel,x_pos,y_pos,z_pos,airspeed,vel_variance[0],vel_variance[1],vel_variance[2],pos_variance[0],pos_variance[1],pos_variance[2],q[0],q[1],q[2],q[3],roll_rate,pitch_rate,yaw_rate,horz_acc_mag,airspeed_valid
217415458,-0.632532,-0.572326,-9.03435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.833156,-0.0353961,-0.0155395,-0.551686,-0.140284,-0.171925,0.128118,0.0,0
217435455,-0.576188,-1.27096,-9.08141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.832502,-0.0357254,-0.0138987,-0.552694,-0.0992518,-0.120966,0.115374,0.0,0
217455455,-0.50216,-0.522821,-9.38519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.831948,-0.0358783,-0.013473,-0.553529,-0.0424037,0.0188473,0.0852885,0.0,0
217475455,-0.661734,-1.11708,-9.46899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.831455,-0.0356068,-0.0144129,-0.554263,0.00710347,0.140143,0.0842919,0.0,0
217495455,-0.669593,-0.837781,-9.56971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.830929,-0.0351815,-0.0159544,-0.555036,0.00508321,0.148856,0.0852341,0.0,0
217515455,-0.653258,-0.105635,-9.63933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.830397,-0.0345178,-0.0166255,-0.555853,-0.066955,0.0470113,0.100391,0.0,0
217539455,-0.537582,-0.790704,-9.53083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.829613,-0.0335172,-0.0161954,-0.557097,-0.143249,-0.0281301,0.123776,0.0,0
217559455,-0.660001,-0.398456,-9.6713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.828928,-0.0330415,-0.0154375,-0.558166,-0.159791,-0.096709,0.130618,0.0,0
217583456,-0.730633,-0.639469,-9.50445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.828143,-0.0324506,-0.0138488,-0.559405,-0.198512,-0.100518,0.128629,0.0,0
217603455,-0.413017,-0.671387,-9.49389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.827485,-0.0314553,-0.0126195,-0.560464,-0.188408,-0.0358635,0.126782,0.0,0
217623455,-0.410372,-0.420332,-9.32513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.826802,-0.0304379,-0.0122543,-0.561535,-0.0924952,0.0397084,0.123679,0.0,0
217643455,-0.827386,-0.668603,-9.97684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.826116,-0.0295415,-0.0128445,-0.562578,-0.0491448,0.0912014,0.115226,0.0,0
217667455,-0.651306,-0.763234,-9.63463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.825342,-0.0285962,-0.0131789,-0.563755,-0.0922084,0.0082038,0.117023,0.0,0
