timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
204842392,204841855,-0.0136381,-0.0827899,0.00835269,0.394477,0.0,0.0,0.0,0.0
204862583,204861855,-0.0957121,-0.0863204,0.00346438,0.392899,0.0,0.0,0.0,0.0
204882412,204881855,-0.0732888,-0.067423,0.00206141,0.391322,0.0,0.0,0.0,0.0
204902367,204901857,0.00139999,-0.106626,0.00110865,0.388955,0.0,0.0,0.0,0.0
204927681,204925855,0.0228736,-0.143646,-0.00357063,0.386588,0.0,0.0,0.0,0.0
204947518,204945855,0.0171924,-0.126825,-0.00282782,0.386588,0.0,0.0,0.0,0.0
204970377,204969855,0.037405,-0.0846241,0.000658831,0.385799,0.0,0.0,0.0,0.0
204990414,204989855,-0.0208686,-0.0491978,0.000405995,0.381854,0.0,0.0,0.0,0.0
205010456,205009855,-0.0139404,-0.110043,0.000921517,0.373965,0.0,0.0,0.0,0.0
205030795,205029855,-0.028288,-0.116861,0.00220322,0.368442,0.0,0.0,0.0,0.0
205054365,205053855,-0.0298706,-0.111046,0.00320106,0.367653,0.0,0.0,0.0,0.0
205074422,205073855,-0.0370918,-0.0565744,0.00265087,0.367653,0.0,0.0,0.0,0.0
205098698,205097855,-0.0650191,-0.0478023,0.000400962,0.366864,0.0,0.0,0.0,0.0
205118434,205117855,-0.0348741,-0.0647957,9.77386e-05,0.366864,0.0,0.0,0.0,0.0
205138688,205137857,-0.019054,-0.0944357,-0.00228938,0.366075,0.0,0.0,0.0,0.0
205162400,205161887,0.00517047,-0.12896,0.00160443,0.364497,0.0,0.0,0.0,0.0
205182600,205181855,0.0158149,-0.121015,0.000237375,0.36213,0.0,0.0,0.0,0.0
205202423,205201876,0.0173997,-0.0955315,-0.00150026,0.36213,0.0,0.0,0.0,0.0
205222733,205221855,0.0331855,-0.0926179,-0.00421353,0.362919,0.0,0.0,0.0,0.0
205242823,205241858,0.0307189,-0.0876986,-0.00473809,0.36213,0.0,0.0,0.0,0.0
205267709,205265855,-0.011928,-0.0838353,-0.014792,0.36213,0.0,0.0,0.0,0.0
205287872,205285855,-0.0254803,-0.0736285,-0.0197079,0.361341,0.0,0.0,0.0,0.0
205307879,205305855,-0.0299068,-0.0886263,-0.0191191,0.359763,0.0,0.0,0.0,0.0
205330518,205329855,0.00630486,-0.135895,-0.0155715,0.359763,0.0,0.0,0.0,0.0
205350289,205349855,-0.0147847,-0.0717716,-0.0129855,0.358974,0.0,0.0,0.0,0.0
205370528,205369855,-0.0066329,-0.0848247,-0.0123006,0.358974,0.0,0.0,0.0,0.0
205390553,205389856,0.0193314,-0.155573,-0.0123994,0.35503,0.0,0.0,0.0,0.0
205414442,205413855,0.0216241,-0.110487,-0.0152145,0.349507,0.0,0.0,0.0,0.0
205434459,205433855,0.0166004,-0.0930473,-0.0166007,0.342406,0.0,0.0,0.0,0.0
205454411,205453855,-0.00817861,-0.0800964,-0.0209969,0.339251,0.0,0.0,0.0,0.0
205474385,205473855,0.00977556,-0.0943884,-0.0207221,0.338462,0.0,0.0,0.0,0.0
205498408,205497855,0.0509926,-0.0967039,-0.02151,0.338462,0.0,0.0,0.0,0.0
205519046,205517855,0.00602151,-0.0849318,-0.023549,0.337673,0.0,0.0,0.0,0.0
205538354,205537856,-0.0325511,-0.0478823,-0.0243616,0.338462,0.0,0.0,0.0,0.0
205558347,205557856,-0.0297252,-0.0819243,-0.0243265,0.338462,0.0,0.0,0.0,0.0
205582346,205581855,-0.0339945,-0.124128,-0.0266379,0.339251,0.0,0.0,0.0,0.0
205602687,205601855,0.0231704,-0.155925,-0.021661,0.339251,0.0,0.0,0.0,0.0
205622372,205621865,0.0635119,-0.156089,-0.0230001,0.340828,0.0,0.0,0.0,0.0
205642362,205641859,0.000618894,-0.116799,-0.0255969,0.339251,0.0,0.0,0.0,0.0
205662435,205661855,0.00114535,-0.059877,-0.0230395,0.339251,0.0,0.0,0.0,0.0
205688062,205685856,0.00749972,-0.0982262,-0.0238275,0.339251,0.0,0.0,0.0,0.0
205708069,205705864,0.0308714,-0.0771536,-0.0238887,0.338462,0.0,0.0,0.0,0.0
205728289,205725855,0.0231556,-0.0792759,-0.0294973,0.339251,0.0,0.0,0.0,0.0
205750362,205749855,0.000996762,-0.0739567,-0.03217,0.339251,0.0,0.0,0.0,0.0
205770377,205769855,0.0611983,-0.0577616,-0.0311965,0.339251,0.0,0.0,0.0,0.0
205790381,205789855,-0.0318027,-0.146077,-0.0295712,0.340828,0.0,0.0,0.0,0.0
205810412,205809855,-0.0539241,-0.125048,-0.0284109,0.339251,0.0,0.0,0.0,0.0
205834262,205833856,-0.0129095,-0.134591,-0.0214088,0.340828,0.0,0.0,0.0,0.0
205854415,205853855,0.0443738,-0.16732,-0.0221034,0.342406,0.0,0.0,0.0,0.0
205874402,205873855,0.024242,-0.162398,-0.024289,0.343195,0.0,0.0,0.0,0.0
205894279,205893855,-0.0256994,-0.128886,-0.029278,0.343195,0.0,0.0,0.0,0.0
205918273,205917856,0.0414336,-0.118993,-0.0336921,0.342406,0.0,0.0,0.0,0.0
205938578,205937855,0.0789499,-0.0931898,-0.0323708,0.343984,0.0,0.0,0.0,0.0
205958686,205957855,0.0486133,-0.116476,-0.0347033,0.350296,0.0,0.0,0.0,0.0
205978390,205977855,0.0104367,-0.146303,-0.0389754,0.360552,0.0,0.0,0.0,0.0
206002433,206001855,-0.00593825,-0.164994,-0.0373649,0.366075,0.0,0.0,0.0,0.0
206022537,206021855,-0.0242986,-0.151025,-0.0370828,0.364497,0.0,0.0,0.0,0.0
206042371,206041855,-0.0449886,-0.141551,-0.0349159,0.366075,0.0,0.0,0.0,0.0
206062378,206061855,0.0508805,-0.099085,-0.0350088,0.366075,0.0,0.0,0.0,0.0
206086275,206085855,0.118341,-0.123775,-0.0332813,0.366075,0.0,0.0,0.0,0.0
206106412,206105855,0.115325,-0.187408,-0.033946,0.366864,0.0,0.0,0.0,0.0
206126477,206125855,0.14056,-0.216644,-0.037227,0.368442,0.0,0.0,0.0,0.0
206148214,206145856,0.136632,-0.192959,-0.0394123,0.368442,0.0,0.0,0.0,0.0
206170401,206169855,-0.0402097,-0.095214,-0.0440317,0.368442,0.0,0.0,0.0,0.0
206190456,206189855,-0.0535978,-0.124073,-0.0384691,0.367653,0.0,0.0,0.0,0.0
206211013,206209855,-0.0829622,-0.086478,-0.0388375,0.366864,0.0,0.0,0.0,0.0
206230287,206229855,0.0192479,-0.120736,-0.0382392,0.367653,0.0,0.0,0.0,0.0
206254391,206253855,0.0407538,-0.183968,-0.0355193,0.366864,0.0,0.0,0.0,0.0
206274452,206273881,-0.0247009,-0.0866999,-0.0376251,0.366864,0.0,0.0,0.0,0.0
