timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
76033730,5.0064,0,1,1,0,0
76333740,5.01929,0,1,1,0,0
76633730,4.98867,0,1,1,0,0
76933729,5.01768,0,1,1,0,0
77233730,5.01123,0,1,1,0,0
77533730,4.98545,0,1,1,0,0
77833729,5.01606,0,1,1,0,0
78143738,5.01768,0,1,1,0,0
78443730,4.99995,0,1,1,0,0
78743730,5.01445,0,1,1,0,0
79043771,5.0209,0,1,1,0,0
79343729,4.98545,0,1,1,0,0
79643729,5.02412,0,1,1,0,0
79943730,5.01284,0,1,1,0,0
80243731,4.99512,0,1,1,0,0
80543729,5.01606,0,1,1,0,0
80843730,5.01768,0,1,1,0,0
81153729,4.99512,0,1,1,0,0
81453733,5.01284,0,1,1,0,0
81753729,5.01929,0,1,1,0,0
82053730,4.97739,0,1,1,0,0
82353729,5.01606,0,1,1,0,0
82653729,5.00962,0,1,1,0,0
82953731,4.98545,0,1,1,0,0
83253729,5.01929,0,1,1,0,0
83553730,5.0209,0,1,1,0,0
83853741,4.97256,0,1,1,0,0
84163730,5.01768,0,1,1,0,0
84463730,4.99351,0,1,1,0,0
84763729,5.01606,0,1,1,0,0
85063765,5.01606,0,1,1,0,0
85363732,4.98545,0,1,1,0,0
85663732,5.01929,0,1,1,0,0
85963729,5.01768,0,1,1,0,0
86263733,4.99512,0,1,1,0,0
86563729,5.01445,0,1,1,0,0
86863740,5.01123,0,1,1,0,0
87173732,4.98867,0,1,1,0,0
87473729,5.00962,0,1,1,0,0
87773729,5.01284,0,1,1,0,0
88073730,4.99189,0,1,1,0,0
88373738,5.01606,0,1,1,0,0
88673729,5.00962,0,1,1,0,0
88983779,4.98706,0,1,1,0,0
89283732,5.01768,0,1,1,0,0
89583730,5.01445,0,1,1,0,0
89883729,4.99351,0,1,1,0,0
90183729,5.01445,0,1,1,0,0
90483755,5.00801,0,1,1,0,0
90783729,4.99834,0,1,1,0,0
91083770,5.01445,0,1,1,0,0
91383730,5.01284,0,1,1,0,0
91683729,4.98867,0,1,1,0,0
91993730,5.01445,0,1,1,0,0
92293730,4.98062,0,1,1,0,0
92593734,5.01768,0,1,1,0,0
92893729,5.01445,0,1,1,0,0
93193730,4.98223,0,1,1,0,0
93493729,5.01929,0,1,1,0,0
93793730,5.01445,0,1,1,0,0
94093730,4.99351,0,1,1,0,0
94393729,5.01768,0,1,1,0,0
94693730,5.01768,0,1,1,0,0
95003779,4.99834,0,1,1,0,0
95303729,5.01123,0,1,1,0,0
95603729,5.01929,0,1,1,0,0
95903729,5.00156,0,1,1,0,0
96203730,5.01929,0,1,1,0,0
96503729,5.00962,0,1,1,0,0
96803730,4.99189,0,1,1,0,0
97103771,5.01768,0,1,1,0,0
97403729,5.01929,0,1,1,0,0
97703730,4.98706,0,1,1,0,0
98003730,5.0064,0,1,1,0,0
98313743,5.01445,0,1,1,0,0
98613730,5.01445,0,1,1,0,0
98913732,5.01445,0,1,1,0,0
99213729,5.01768,0,1,1,0,0
99513729,5.02734,0,1,1,0,0
99813730,5.01284,0,1,1,0,0
100113730,5.00962,0,1,1,0,0
100413729,5.02573,0,1,1,0,0
100713729,5.01123,0,1,1,0,0
101023762,4.98384,0,1,1,0,0
101323729,5.01445,0,1,1,0,0
101623729,5.01284,0,1,1,0,0
101923729,4.99834,0,1,1,0,0
102223729,5.01284,0,1,1,0,0
102523729,5.01606,0,1,1,0,0
102823730,4.99189,0,1,1,0,0
103123771,5.01445,0,1,1,0,0
103423729,5.01606,0,1,1,0,0
103723730,4.99189,0,1,1,0,0
104023729,5.01768,0,1,1,0,0
104333748,5.01445,0,1,1,0,0
104633729,4.979,0,1,1,0,0
104933730,5.01768,0,1,1,0,0
105233729,5.01768,0,1,1,0,0
105533732,4.99189,0,1,1,0,0
105833736,5.01768,0,1,1,0,0
106133730,5.00479,0,1,1,0,0
106433732,4.99028,0,1,1,0,0
106733729,5.01445,0,1,1,0,0
107043745,5.01445,0,1,1,0,0
107343738,4.99834,0,1,1,0,0
107643739,5.01929,0,1,1,0,0
107943730,5.01284,0,1,1,0,0
108243734,5.00479,0,1,1,0,0
108543730,5.01445,0,1,1,0,0
108843729,5.00801,0,1,1,0,0
109143772,5.01929,0,1,1,0,0
109443739,5.01445,0,1,1,0,0
109743730,5.00962,0,1,1,0,0
110043730,5.01123,0,1,1,0,0
