timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3]
67830270,0.0239393,0.105921,-0.00503662,-0.535343,-0.0322209,-0.00991568,0.843962
67842264,0.0513047,0.0989851,-0.0186332,-0.535256,-0.0329062,-0.00998932,0.84399
67850263,0.0665219,0.0880543,-0.0291652,-0.535193,-0.033331,-0.00995321,0.844013
67862270,0.0802285,0.0708383,-0.039274,-0.535162,-0.0339984,-0.0097723,0.844009
67874263,0.0765784,0.0468044,-0.0469734,-0.535066,-0.0345207,-0.00952481,0.844051
67882264,0.0580886,0.0283641,-0.0474947,-0.534736,-0.0347892,-0.00934395,0.844251
67894270,0.0163154,0.000195662,-0.0289906,-0.534319,-0.0349213,-0.00918279,0.844511
67906271,-0.0200223,-0.0126102,-0.00754924,-0.534352,-0.0348548,-0.00917395,0.844493
67914263,-0.0339863,-0.0176395,-0.00296787,-0.534156,-0.0347398,-0.00921479,0.844622
67926270,-0.0430971,-0.0286333,0.000298204,-0.534289,-0.0344828,-0.00930919,0.844547
67934270,-0.0429332,-0.0402082,-0.00145475,-0.534412,-0.0342574,-0.00935179,0.844478
67946263,-0.0285978,-0.0519198,-0.00617706,-0.534567,-0.0339125,-0.00933723,0.844394
67958277,-0.000717244,-0.0577326,-0.0163861,-0.534606,-0.0335978,-0.00917086,0.844384
67966272,0.0180369,-0.0571693,-0.0197923,-0.534106,-0.0334408,-0.00895908,0.844708
67978263,0.0261583,-0.0572176,-0.0192093,-0.534151,-0.0332446,-0.00862086,0.844691
67990282,0.00921242,-0.067393,-0.0150136,-0.534146,-0.0329808,-0.00831165,0.844708
67998270,-0.0038402,-0.070094,-0.010814,-0.534092,-0.0327503,-0.00814645,0.844752
68010264,-0.0121257,-0.0587233,-0.0106275,-0.534057,-0.0324025,-0.00796114,0.84479
68022270,-0.0218875,-0.0321312,-0.0106073,-0.534076,-0.0321269,-0.00789203,0.844789
68034264,-0.0281421,-0.00305184,-0.00990439,-0.533861,-0.031995,-0.00795206,0.844929
68046276,-0.0194844,0.0179696,-0.0178985,-0.533878,-0.0319847,-0.00808441,0.844918
68054272,-0.00796006,0.0231363,-0.0264338,-0.533891,-0.0320355,-0.00815191,0.844907
68066265,0.00518016,0.0254945,-0.0297458,-0.533924,-0.0321674,-0.00819986,0.844881
68074263,0.0123508,0.0251187,-0.0273181,-0.533884,-0.0322821,-0.0082039,0.844901
68086270,0.0185437,0.0262918,-0.0261824,-0.533853,-0.0324848,-0.00817236,0.844913
68098263,0.00624524,0.023274,-0.0240174,-0.533814,-0.0326494,-0.00817184,0.844932
68106263,0.00305678,0.0260192,-0.014815,-0.533752,-0.0327497,-0.00819807,0.844967
68118311,0.00947978,0.0365497,-0.00852464,-0.533609,-0.032945,-0.00823273,0.845049
68130272,0.0102907,0.0456645,-0.00213023,-0.533661,-0.0332032,-0.00829649,0.845006
68138265,0.0132211,0.0448289,0.00367108,-0.533244,-0.0333906,-0.00830935,0.845261
68150273,0.0191907,0.0409981,0.00184348,-0.533242,-0.0336506,-0.00831434,0.845253
68158270,0.0240613,0.0421138,-0.00320484,-0.53332,-0.0338473,-0.00830678,0.845196
